Time,1Hz (Mean),1Hz (SD),1Hz (N),2Hz (Mean),2Hz (SD),2Hz (N)
00:00:00.0,1.0,0.10919497643312086,392,1.0,0.05243852232116938,391
00:00:05.0,0.9960241370534082,0.09365647952975382,391,1.001660693860753,0.04940935042798712,381
00:00:10.0,0.9947252182753057,0.09478901839873613,382,0.9986830212973714,0.05133221961620069,383
00:00:15.0,0.997657164385742,0.10621269089477318,395,1.000863510279588,0.0534136595746821,386
00:00:20.0,0.9943251439822935,0.10646189755031393,383,1.0012667372056447,0.05221677090863216,380
00:00:25.0,0.993271982738222,0.11023256793399434,391,1.000765379060302,0.05372260460214697,391
00:00:30.0,0.9915219514665059,0.09223770055912639,375,1.0107038654717388,0.0524713683962457,365
00:00:35.0,1.0013466050993567,0.10544276270229533,390,1.0351078027169047,0.054489287986471874,373
00:00:40.0,1.0120207311643632,0.10085904886443453,376,1.0606982628278023,0.05828165453361716,367
00:00:45.0,1.021406231357172,0.09699971125404842,373,1.0828333188342505,0.06261813979661875,350
00:00:50.0,1.03062144402745,0.09578700620229269,385,1.1009553499157356,0.06905415538904969,361
00:00:55.0,1.0351244822721997,0.08082199145050972,386,1.117437640685367,0.07100257032341703,360
00:01:00.0,1.0451453391041687,0.10831927656193718,381,1.1236728349039726,0.07572010439276078,359
00:01:05.0,1.0424950668565063,0.08569559020102072,369,1.1301230203357366,0.07519883251403593,362
00:01:10.0,1.0490220466805933,0.09884513799118205,365,1.1361036355120204,0.07759142738199021,363
00:01:15.0,1.0482461875447493,0.08592167288119283,367,1.1426640262695364,0.08144083221369972,345
00:01:20.0,1.0481956901642313,0.07058085799598264,366,1.150958403707633,0.08185918049911275,345
00:01:25.0,1.0492163954242164,0.0879957903619231,368,1.1508242603243213,0.08365292463286272,347
00:01:30.0,1.0538376518172268,0.10279919760286786,362,1.1549966450093416,0.08515552624259377,355
00:01:35.0,1.0534688351172805,0.10423664179610102,359,1.1563261997722736,0.08258077784546182,351
00:01:40.0,1.0550132801874006,0.09025825250415008,364,1.1570251795625137,0.08619405074076114,354
00:01:45.0,1.0606311519965135,0.1165001490543084,366,1.1652658003148546,0.086290248681818,356
00:01:50.0,1.0565999619502189,0.07633289107331627,357,1.168722880370596,0.08763716726775625,350
00:01:55.0,1.058894803171615,0.11301090826048663,359,1.1664083772733,0.087353443908719,346
00:02:00.0,1.0463620456972798,0.08369445217245125,368,1.1615981392849433,0.08345259735094754,339
00:02:05.0,1.0345108556032152,0.08390834289992967,371,1.1284676635142803,0.07329991703164197,347
00:02:10.0,1.015285594217092,0.07845674682804633,372,1.0955994253617347,0.06582989278688609,350
00:02:15.0,1.007755361502564,0.08024912077210633,376,1.0709794211800512,0.06058552475184379,369
00:02:20.0,1.001441844419923,0.09019744007272647,385,1.049333117776414,0.05607133354280885,373
00:02:25.0,0.9902923842019407,0.07246464944024493,381,1.0378840882256533,0.05338780358477092,374
00:02:30.0,0.989255204266657,0.09032871729356932,378,1.026958860355601,0.05202317835042679,380
00:02:35.0,0.9840754720482379,0.0923656508325787,391,1.0165598796793065,0.049909249883382856,382
00:02:40.0,0.9854801874370027,0.10176155661469703,391,1.0098085415998328,0.049499904941358086,381
00:02:45.0,0.9787040394474952,0.09071227616146896,375,1.0083855780658424,0.049647962953738495,372
00:02:50.0,0.9828524624154917,0.09717571904114657,391,1.0031890654327646,0.04891317533399417,383
00:02:55.0,0.978371226451124,0.07501816633867574,384,1.0070090936429181,0.05023342883184002,381
00:03:00.0,0.978867187090401,0.0928558373512493,382,0.9998851289226135,0.05391808266225236,397
00:03:05.0,0.9793066651731396,0.10815275549726873,378,1.0055550392091828,0.0523612834940576,388
00:03:10.0,0.9784827664505551,0.0927915690192342,389,1.004776003073536,0.054379194012828876,378
00:03:15.0,0.9767938162125491,0.05670478757039439,377,1.0095601961589333,0.055930105202032836,387
00:03:20.0,0.9806593315248796,0.07621264070697074,383,1.0092995732597871,0.0540611399595262,379
00:03:25.0,0.9835286803469707,0.06227127710284163,387,1.0081375191317266,0.05551163354483322,386
